#	PROCEDURAL	OBJECT	GENERATION	INFO
#	---------------------------------
#PROJECT_PROPS
#
#   SURFACETYPE	OBJECTNAME		SPACING	MINDIST	MINROT	MAXROT	MINSCL	MAXSCL	MINSCLZ	MAXSCLZ	ZOFFMIN	zOFFMAX	ALIGN	USEGRID
#################################################################################################################################################

FUCKED_CONCRETE	proc_amb		80.0	10.0	0	360	1.0	1.1	1.0	1.0	-0.3	-0.3	1	0	
FUCKED_CONCRETE	proc_sodacup1		70.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0	
FUCKED_CONCRETE	proc_sodacup2		70.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0	
FUCKED_CONCRETE	proc_sodacup2lid	70.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0	
FUCKED_CONCRETE	proc_cigpak		50.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0	
FUCKED_CONCRETE proc_pebble2		35.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
FUCKED_CONCRETE proc_pebble		25.0	20.0	0	360	1.0	1.1	0.01	0.01	0.005	0.01	1	0
FUCKED_CONCRETE proc_cigbut		65.0	20.0	0	360	1.0	1.0	1.0	1.0	0.05	0.05	1	0
FUCKED_CONCRETE proc_cigbuts		62.0	20.0	0	360	1.0	1.0	1.0	1.0	0.06	0.06	1	1
FUCKED_CONCRETE proc_rubbish		65.0	20.0	0	360	1.0	1.0	1.0	1.0	0.11	0.11	1	1
FUCKED_CONCRETE PROC_RUBBISH_5		70.0	20.0	0	0	1.0	1.1	1.0	1.0	0.0	0.0	1	1

PAVEMENT proc_sodacup1			70.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
PAVEMENT proc_sodacup2			70.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
PAVEMENT proc_sodacup2lid		70.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
PAVEMENT proc_burger			70.0	20.0	0	360	0.5	0.5	0.3	0.3	0.005	0.01	1	0
PAVEMENT proc_cigpak			50.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
PAVEMENT proc_inhaler			50.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0	
PAVEMENT proc_pebble2			15.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
PAVEMENT proc_pebble			25.0	20.0	0	360	1.0	1.1	0.01	0.01	0.005	0.01	1	0
PAVEMENT proc_cigbut			15.0	20.0	0	360	1.0	1.0	1.0	1.0	0.05	0.05	1	0
PAVEMENT proc_cigbuts			32.0	20.0	0	360	1.0	1.0	1.0	1.0	0.07	0.07	1	1
PAVEMENT proc_rubbish			65.0	20.0	0	360	1.0	1.0	1.0	1.0	0.11	0.11	1	1
PAVEMENT PROC_RUBBISH_5			90.0	20.0	0	0	1.0	1.1	1.0	1.0	0.0	0.0	1	1
	
PAVEMENT_FUCKED proc_sodacup1		70.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
PAVEMENT_FUCKED proc_sodacup2		70.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
PAVEMENT_FUCKED proc_sodacup2lid	70.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
PAVEMENT_FUCKED proc_burger		70.0	20.0	0	360	0.5	0.5	0.3	0.3	0.005	0.01	1	0
PAVEMENT_FUCKED proc_cigpak		70.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
PAVEMENT_FUCKED proc_inhaler		70.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0	
PAVEMENT_FUCKED proc_pebble2		25.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
PAVEMENT_FUCKED proc_pebble		25.0	20.0	0	360	1.0	1.1	0.01	0.01	0.005	0.01	1	0
PAVEMENT_FUCKED proc_cigbut		25.0	20.0	0	360	1.0	1.0	1.0	1.0	0.05	0.05	1	0
PAVEMENT_FUCKED PROC_RUBBISH_5		90.0	20.0	0	0	1.0	1.1	1.0	1.0	0.0	0.0	1	1
PAVEMENT_FUCKED proc_cigbuts		32.0	20.0	0	360	1.0	1.0	1.0	1.0	0.07	0.07	1	1
PAVEMENT_FUCKED proc_rubbish		75.0	20.0	0	360	1.0	1.0	1.0	1.0	0.11	0.11	1	1
PAVEMENT_FUCKED	proc_amb		80.0	22.0	0	360	1.0	1.1	1.0	1.0	-0.3	-0.3	1	0	
PAVEMENT_FUCKED proc_spraycan		70.0	20.0	0	360	1.0	1.1	1.0	1.0	-0.34	-0.35	1	0	

TARMAC proc_sodacup1			70.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0	
TARMAC proc_sodacup2			70.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0	
TARMAC proc_sodacup2lid			70.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0	
TARMAC proc_pebble2			45.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.006	1	0
TARMAC proc_cigbut			60.0	20.0	0	360	1.0	1.0	1.0	1.0	0.05	0.05	1	0
	
	
TARMAC_FUCKED	proc_sodacup1		60.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0	
TARMAC_FUCKED	proc_sodacup2		60.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0	
TARMAC_FUCKED	proc_sodacup2lid	60.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0	
TARMAC_FUCKED	proc_pebble2		35.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.006	1	0
TARMAC_FUCKED 	proc_cigbut		40.0	20.0	0	360	1.0	1.0	1.0	1.0	0.05	0.05	1	0	

TARMAC_REALLYFUCKED proc_syrnige	70.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0	
TARMAC_REALLYFUCKED proc_amb		80.0	22.0	0	360	1.0	1.1	1.0	1.0	-0.3	-0.3	1	0
TARMAC_REALLYFUCKED proc_sodacup1	60.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
TARMAC_REALLYFUCKED proc_sodacup2	60.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
TARMAC_REALLYFUCKED proc_sodacup2lid	60.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
TARMAC_REALLYFUCKED proc_cigpak		60.0	20.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
TARMAC_REALLYFUCKED proc_cigbut		45.0	20.0	0	360	1.0	1.0	1.0	1.0	0.05	0.05	1	0
TARMAC_REALLYFUCKED proc_pebble2	15.0	20.0	0	360	1.0	1.0	1.0	1.0	0.05	0.05	1	0
TARMAC_REALLYFUCKED proc_pebble		15.0	20.0	0	360	1.0	1.0	1.0	1.0	0.05	0.05	1	0

SAND_BEACH proc_amb			80.0	20.0	0	360	1.0	1.1	1.0	1.0	-0.3	-0.3	1	0
SAND_BEACH proc_sodacup1		60.0	0.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
SAND_BEACH proc_sodacup2		60.0	0.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
SAND_BEACH proc_sodacup2lid		60.0	0.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
SAND_BEACH proc_cigpak			40.0	0.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
SAND_BEACH proc_pebble			25.0	0.0	0	360	0.1	1.0	0.1	1.0	0.0	0.0	1	0
SAND_BEACH proc_pebble2			25.0	0.0	0	360	0.1	1.0	0.1	1.0	0.0	0.0	1	0
SAND_BEACH cj_oyster_2			30.0	0.0	0	360	0.05	0.05	1.0	1.0	-0.2	-0.2	1	0
SAND_BEACH sandcastle1			50.0	0.0	0	360	1.0	1.0	2.0	2.0	0.0	0.0	1	0
SAND_BEACH sandcastle2			50.0	0.0	0	360	1.0	1.0	2.0	2.0	0.0	0.0	1	0
SAND_BEACH proc_cigpbut			10.0	0.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0


CONCRETE_BEACH	proc_sodacup1		40.0	10.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
CONCRETE_BEACH	proc_sodacup2		40.0	10.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
CONCRETE_BEACH	proc_sodacup2lid	40.0	10.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
CONCRETE_BEACH	proc_cigpak		40.0	10.0	0	360	1.0	1.1	1.0	1.0	0.005	0.01	1	0
CONCRETE_BEACH 	proc_pebble		25.0	10.0	0	360	0.1	1.0	0.1	1.0	0.0	0.0	1	0
CONCRETE_BEACH 	proc_pebble2		25.0	10.0	0	360	0.1	1.0	0.1	1.0	0.0	0.0	1	0

GRAVEL	proc_pebble2			20.0	25.0	0	360	0.1	1.0	0.1	1.0	0.0	0.0	1	0
GRAVEL	proc_pebble			20.0	25.0	0	360	0.1	1.0	0.1	1.0	0.0	0.0	1	0
	
RAILTRACK proc_pebble	25.0	5.0	0	360	0.1	1.0	0.1	1.0	0.0	0.0	1	0
RAILTRACK proc_pebble2	25.0	5.0	0	360	0.1	1.0	0.1	1.0	0.0	0.0	1	0

	

	
	
	
	
	


	
